time,age_group,sex,obs_value,total_population,inactive_population,labour_force,total_unemployed_population,total_employed_population
2015,15-24,female,7.339,4818104.64,2694669.5630591996,2123435.0769408,155838.90029668534,1967596.1766441148
2015,15-24,male,7.337,4840215.2,2586417.394272,2253797.805728,165361.14500626334,2088436.660721737
2015,25+,female,1.793,3705181.44,535509.8735231999,3169671.5664768,56832.21118692902,3112839.355289871
2015,25+,male,1.354,3669375.04,240967.85887680002,3428407.1811232,46420.63323240813,3381986.5478907917
2016,15-24,female,7.371,4962468.832,2796897.05840352,2165571.7735964805,159624.29543179658,2005947.478164684
2016,15-24,male,7.378,4986519.68,2665045.442976,2321474.237024,171278.36920763072,2150195.867816369
2016,25+,female,1.787,3778345.472,539661.08376576,3238684.38823424,57875.29001774587,3180809.098216494
2016,25+,male,1.347,3742889.28,243250.37430719996,3499638.9056928,47140.136059682016,3452498.769633118
2017,15-24,female,9.304,5106833.024,2906094.4006374404,2200738.62336256,204756.72151765256,1995981.901844907
2017,15-24,male,8.798,5132824.16,2811709.7466064002,2321114.4133936,204211.64609036891,2116902.767303231
2017,25+,female,2.3,3851509.504,532971.88516352,3318537.61883648,76326.36523323905,3242211.2536032414
2017,25+,male,1.959,3816403.52,255126.57531199997,3561276.9446880003,69765.41534643792,3491511.529341562
2018,15-24,female,11.192,5251197.216,3017495.4562300798,2233701.7597699203,249995.90095344948,1983705.858816471
2018,15-24,male,10.189,5279128.64,2963808.4010688,2315320.2389311995,235907.9791446999,2079412.2597864997
2018,25+,female,2.793,3924673.536,523551.44970239996,3401122.0862976,94993.33987029197,3306128.746427308
2018,25+,male,2.546,3889917.76,267470.7451776,3622447.0148223997,92227.50099737829,3530219.5138250217
2019,15-24,female,13.175,5395561.408,3131745.70804544,2263815.69995456,298257.7184690133,1965557.9814855466
2019,15-24,male,11.675,5425433.12,3121794.217248,2303638.902752,268949.841896296,2034689.060855704
2019,25+,female,3.322,3997837.568,511243.46819583996,3486594.09980416,115824.6559954942,3370769.443808666
2019,25+,male,3.166,3963432.0,278708.53823999997,3684723.46176,116658.3447993216,3568065.1169606782
2020,15-24,female,14.775,5539925.6,3238418.9087360003,2301506.6912639993,340047.6136342559,1961459.0776297436
2020,15-24,male,12.873,5571737.6,3227707.59168,2344030.0083199996,301746.9829710335,2042283.025348966
2020,25+,female,3.597,4071001.6,555040.358144,3515961.241856,126469.12586956032,3389492.11598644
2020,25+,male,3.721,4036946.2399999998,318232.47209919995,3718713.7679008,138373.33930358876,3580340.428597211
2021,15-24,female,14.463,5682377.600000001,3318224.399520001,2364153.2004799997,341927.47738542233,2022225.7230945774
2021,15-24,male,12.474,5717894.88,3318437.4725567997,2399457.4074432002,299308.3170044648,2100149.0904387357
2021,25+,female,3.899,4161311.808,517500.73644288,3643811.0715571204,142072.1936800121,3501738.877877108
2021,25+,male,3.697,4126573.92,292904.2168416,3833669.7031584,141730.76892576605,3691938.934232634
2022,15-24,female,14.332,5824829.6,3385740.4532959997,2439089.146704,349570.2565056173,2089518.8901983825
2022,15-24,male,12.37,5864052.16,3362975.2732383995,2501076.8867616006,309383.21089240996,2191693.6758691906
2022,25+,female,3.754,4251622.016,496674.48390912,3754947.53209088,140960.73035469162,3613986.801736188
2022,25+,male,3.519,4216201.6,282401.18316799996,3933800.4168319996,138430.43666831806,3795369.980163682
2023,15-24,female,14.321,5967281.6,3472719.199936,2494562.4000639995,357246.2813131654,2137316.118750834
2023,15-24,male,12.417,6010209.4399999995,3439522.6583232,2570686.7816767995,319202.1776808082,2251484.6039959914
2023,25+,female,3.727,4341932.224,503968.07323968003,3837964.1507603205,143040.92389883712,3694923.2268614834
2023,25+,male,3.465,4305829.28,287069.63809759996,4018759.6419024,139250.02159191816,3879509.620310482
2024,15-24,female,14.3,6109733.6,3561791.3967919997,2547942.203208,364355.73505874403,2183586.468149256
2024,15-24,male,12.438,6156366.72,3521010.8181695994,2635355.9018304003,327785.5670696652,2307570.3347607353
2024,25+,female,3.7,4432242.432,516267.59847936,3915974.83352064,144891.0688402637,3771083.7646803763
2024,25+,male,3.416,4395456.96,292781.3881056,4102675.5718944,140147.3975359127,3962528.174358487
