year,age_group,sex,population
2015,15-24,female,4818104.64
2015,15-24,male,4840215.2
2015,25-35,female,3705181.44
2015,25-35,male,3669375.04
2016,15-24,female,4962468.832
2016,15-24,male,4986519.68
2016,25-35,female,3778345.472
2016,25-35,male,3742889.28
2017,15-24,female,5106833.024
2017,15-24,male,5132824.16
2017,25-35,female,3851509.504
2017,25-35,male,3816403.52
2018,15-24,female,5251197.216
2018,15-24,male,5279128.64
2018,25-35,female,3924673.536
2018,25-35,male,3889917.76
2019,15-24,female,5395561.408
2019,15-24,male,5425433.12
2019,25-35,female,3997837.568
2019,25-35,male,3963432.0
2020,15-24,female,5539925.6
2020,15-24,male,5571737.6
2020,25-35,female,4071001.6
2020,25-35,male,4036946.2399999998
2021,15-24,female,5682377.600000001
2021,15-24,male,5717894.88
2021,25-35,female,4161311.808
2021,25-35,male,4126573.92
2022,15-24,female,5824829.6
2022,15-24,male,5864052.16
2022,25-35,female,4251622.016
2022,25-35,male,4216201.6
2023,15-24,female,5967281.6
2023,15-24,male,6010209.4399999995
2023,25-35,female,4341932.224
2023,25-35,male,4305829.28
2024,15-24,female,6109733.6
2024,15-24,male,6156366.72
2024,25-35,female,4432242.432
2024,25-35,male,4395456.96
2025,15-24,female,6252185.6
2025,15-24,male,6302524.0
2025,25-35,female,4522552.64
2025,25-35,male,4485084.64
2026,15-24,female,6360934.816
2026,15-24,male,6414668.992000001
2026,25-35,female,4659847.68
2026,25-35,male,4623018.08
2027,15-24,female,6469684.032
2027,15-24,male,6526813.984
2027,25-35,female,4797142.72
2027,25-35,male,4760951.5200000005
2028,15-24,female,6578433.248
2028,15-24,male,6638958.976
2028,25-35,female,4934437.76
2028,25-35,male,4898884.96
2029,15-24,female,6687182.464
2029,15-24,male,6751103.968
2029,25-35,female,5071732.8
2029,25-35,male,5036818.4
2030,15-24,female,6795931.68
2030,15-24,male,6863248.96
2030,25-35,female,5209027.84
2030,25-35,male,5174751.84
2031,15-24,female,6872686.143999999
2031,15-24,male,6943055.104
2031,25-35,female,5347906.143999999
2031,25-35,male,5315993.44
2032,15-24,female,6949440.608
2032,15-24,male,7022861.248
2032,25-35,female,5486784.448
2032,25-35,male,5457235.04
2033,15-24,female,7026195.072
2033,15-24,male,7102667.392
2033,25-35,female,5625662.752
2033,25-35,male,5598476.64
2034,15-24,female,7102949.536
2034,15-24,male,7182473.536
2034,25-35,female,5764541.056
2034,25-35,male,5739718.24
2035,15-24,female,7179704.0
2035,15-24,male,7262279.68
2035,25-35,female,5903419.36
2035,25-35,male,5880959.84
2036,15-24,female,7245989.568
2036,15-24,male,7330365.472
2036,25-35,female,6007923.712
2036,25-35,male,5990572.48
2037,15-24,female,7312275.136
2037,15-24,male,7398451.264
2037,25-35,female,6112428.064
2037,25-35,male,6100185.12
2038,15-24,female,7378560.704
2038,15-24,male,7466537.056
2038,25-35,female,6216932.416
2038,25-35,male,6209797.76
2039,15-24,female,7444846.272
2039,15-24,male,7534622.847999999
2039,25-35,female,6321436.768
2039,25-35,male,6319410.4
2040,15-24,female,7511131.84
2040,15-24,male,7602708.64
2040,25-35,female,6425941.12
2040,25-35,male,6429023.04
